"filename", "language", "JSON", "XML", "C#", "Markdown", "comment", "blank", "total"
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\.VSCodeCounter\2025-02-26_09-15-34\details.md", "Markdown", 0, 0, 0, 123, 0, 6, 129
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\.VSCodeCounter\2025-02-26_09-15-34\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 6, 15
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\.VSCodeCounter\2025-02-26_09-15-34\diff.md", "Markdown", 0, 0, 0, 12, 0, 7, 19
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\.VSCodeCounter\2025-02-26_09-15-34\results.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\.VSCodeCounter\2025-02-26_09-15-34\results.md", "Markdown", 0, 0, 0, 42, 0, 7, 49
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Attributes\Authorization\Requirements\Handler\UserPermissionHandler.cs", "C#", 0, 0, 20, 0, 1, 6, 27
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Attributes\Authorization\Requirements\Handler\UserRoleHandler.cs", "C#", 0, 0, 29, 0, 2, 7, 38
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Attributes\Authorization\Requirements\UserPermissionAttribute.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Attributes\Authorization\Requirements\UserRoleAttribute.cs", "C#", 0, 0, 10, 0, 0, 3, 13
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Attributes\RateLimitPolicyAttribute.cs", "C#", 0, 0, 19, 0, 0, 7, 26
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Claims\SubscriptionTypes.cs", "C#", 0, 0, 7, 0, 0, 1, 8
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Config\Authentication\AuthenticationConfiguration.cs", "C#", 0, 0, 53, 0, 137, 8, 198
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Config\Authorization\AuthorizationPolicyConfigurator.cs", "C#", 0, 0, 93, 0, 48, 19, 160
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Config\Settings\JwtSettings.cs", "C#", 0, 0, 12, 0, 29, 6, 47
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Config\Settings\SmtpSettings.cs", "C#", 0, 0, 18, 0, 23, 6, 47
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Config\Settings\StripeSettings.cs", "C#", 0, 0, 9, 0, 18, 2, 29
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Admin\AdminController.cs", "C#", 0, 0, 26, 0, 1, 5, 32
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\AttendanceController.cs", "C#", 0, 0, 710, 0, 4, 119, 833
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\AuthController.cs", "C#", 0, 0, 214, 0, 16, 52, 282
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\DepartmentController.cs", "C#", 0, 0, 294, 0, 1, 67, 362
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\EmpDepartmentController.cs", "C#", 0, 0, 9, 0, 0, 2, 11
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\EmployeeController.cs", "C#", 0, 0, 344, 0, 11, 85, 440
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\LeaveController.cs", "C#", 0, 0, 331, 0, 18, 65, 414
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\NotificationController.cs", "C#", 0, 0, 186, 0, 1, 40, 227
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\OrganizationController.cs", "C#", 0, 0, 149, 0, 7, 39, 195
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\OvertimeController.cs", "C#", 0, 0, 237, 0, 0, 41, 278
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\PayrollController.cs", "C#", 0, 0, 56, 0, 3, 10, 69
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\ShiftController.cs", "C#", 0, 0, 242, 0, 0, 38, 280
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\SubscriptionController.cs", "C#", 0, 0, 132, 0, 9, 23, 164
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\SupervisorController.cs", "C#", 0, 0, 122, 0, 0, 18, 140
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\Clients\UserController.cs", "C#", 0, 0, 348, 0, 6, 86, 440
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Data\DataContext.cs", "C#", 0, 0, 229, 0, 29, 43, 301
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Data\Seed\SubscriptionSeed.cs", "C#", 0, 0, 91, 0, 6, 17, 114
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Enum\Constants.cs", "C#", 0, 0, 14, 0, 0, 3, 17
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Exceptions\ConflictException.cs", "C#", 0, 0, 4, 0, 0, 2, 6
"c:\Users\james\OneDrive\Documents\GitHub\hrconnectbackend\hrconnectbackend\Exceptions\CustomException.cs", "C#", 0, 0, 27, 0, 0, 4, 31
