"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\AdminController.cs", "C#", 37, 0, 0, 1, 9, 47
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\AttendanceController.cs", "C#", 692, 0, 0, 17, 120, 829
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\DepartmentController.cs", "C#", 202, 0, 0, 0, 42, 244
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\EmployeeController.cs", "C#", 241, 0, 0, 3, 43, 287
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\LeaveController.cs", "C#", 323, 0, 0, 0, 70, 393
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\NotificationController.cs", "C#", 109, 0, 0, 0, 19, 128
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\OvertimeController.cs", "C#", 237, 0, 0, 0, 41, 278
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\PayrollController.cs", "C#", 63, 0, 0, 4, 12, 79
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\ShiftController.cs", "C#", 188, 0, 0, 0, 26, 214
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\SupervisorController.cs", "C#", 141, 0, 0, 0, 24, 165
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v1\UserController.cs", "C#", 276, 0, 0, 51, 64, 391
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v2\AdminController.cs", "C#", 37, 0, 0, 1, 9, 47
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v2\AttendanceController.cs", "C#", 693, 0, 0, 17, 120, 830
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v2\DepartmentController.cs", "C#", 203, 0, 0, 0, 42, 245
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v2\EmployeeController.cs", "C#", 241, 0, 0, 3, 43, 287
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v2\LeaveController.cs", "C#", 278, 0, 0, 3, 53, 334
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v2\NotificationController.cs", "C#", 108, 0, 0, 0, 19, 127
"c:\Users\IT\Documents\GitHub\hrconnectbackend\hrconnectbackend\Controllers\v2\OvertimeController.cs", "C#", 237, 0, 0, 0, 41, 278
